word_a,word_b,word_a_rank,word_b_rank,pos,exam_tag,exam_category,difficulty,sentence_en,image_prompt,sentence_bn,word_a_bn,word_b_bn
install,intend,225,226,verb,GENERAL,GENERAL,3,The person tried to install but ended up having to intend.,A flat vector illustration showing someone trying to install and intend.,[Mock Bangla] The person tried to install but ended up having to intend.,[Mock Bangla for install],[Mock Bangla for intend]
introduce,invent,227,228,verb,GENERAL,GENERAL,3,The person tried to introduce but ended up having to invent.,A flat vector illustration showing someone trying to introduce and invent.,[Mock Bangla] The person tried to introduce but ended up having to invent.,[Mock Bangla for introduce],[Mock Bangla for invent]
invite,irritate,229,230,verb,GENERAL,GENERAL,3,The person tried to invite but ended up having to irritate.,A flat vector illustration showing someone trying to invite and irritate.,[Mock Bangla] The person tried to invite but ended up having to irritate.,[Mock Bangla for invite],[Mock Bangla for irritate]
itch,jail,231,232,verb,GENERAL,GENERAL,3,The person tried to itch but ended up having to jail.,A flat vector illustration showing someone trying to itch and jail.,[Mock Bangla] The person tried to itch but ended up having to jail.,[Mock Bangla for itch],[Mock Bangla for jail]
jam,jog,233,234,verb,GENERAL,GENERAL,3,The person tried to jam but ended up having to jog.,A flat vector illustration showing someone trying to jam and jog.,[Mock Bangla] The person tried to jam but ended up having to jog.,[Mock Bangla for jam],[Mock Bangla for jog]
join,joke,235,236,verb,GENERAL,GENERAL,3,The person tried to join but ended up having to joke.,A flat vector illustration showing someone trying to join and joke.,[Mock Bangla] The person tried to join but ended up having to joke.,[Mock Bangla for join],[Mock Bangla for joke]
judge,jump,237,238,verb,GENERAL,GENERAL,3,The person tried to judge but ended up having to jump.,A flat vector illustration showing someone trying to judge and jump.,[Mock Bangla] The person tried to judge but ended up having to jump.,[Mock Bangla for judge],[Mock Bangla for jump]
keep,kick,239,240,verb,GENERAL,GENERAL,3,The person tried to keep but ended up having to kick.,A flat vector illustration showing someone trying to keep and kick.,[Mock Bangla] The person tried to keep but ended up having to kick.,[Mock Bangla for keep],[Mock Bangla for kick]
kill,kiss,241,242,verb,GENERAL,GENERAL,3,The person tried to kill but ended up having to kiss.,A flat vector illustration showing someone trying to kill and kiss.,[Mock Bangla] The person tried to kill but ended up having to kiss.,[Mock Bangla for kill],[Mock Bangla for kiss]
kneel,knit,243,244,verb,GENERAL,GENERAL,3,The person tried to kneel but ended up having to knit.,A flat vector illustration showing someone trying to kneel and knit.,[Mock Bangla] The person tried to kneel but ended up having to knit.,[Mock Bangla for kneel],[Mock Bangla for knit]
knock,knot,245,246,verb,GENERAL,GENERAL,3,The person tried to knock but ended up having to knot.,A flat vector illustration showing someone trying to knock and knot.,[Mock Bangla] The person tried to knock but ended up having to knot.,[Mock Bangla for knock],[Mock Bangla for knot]
know,label,247,248,verb,GENERAL,GENERAL,3,The person tried to know but ended up having to label.,A flat vector illustration showing someone trying to know and label.,[Mock Bangla] The person tried to know but ended up having to label.,[Mock Bangla for know],[Mock Bangla for label]
lack,land,249,250,verb,GENERAL,GENERAL,3,The person tried to lack but ended up having to land.,A flat vector illustration showing someone trying to lack and land.,[Mock Bangla] The person tried to lack but ended up having to land.,[Mock Bangla for lack],[Mock Bangla for land]
last,laugh,251,252,verb,GENERAL,GENERAL,3,The person tried to last but ended up having to laugh.,A flat vector illustration showing someone trying to last and laugh.,[Mock Bangla] The person tried to last but ended up having to laugh.,[Mock Bangla for last],[Mock Bangla for laugh]
lay,lead,253,254,verb,GENERAL,GENERAL,3,The person tried to lay but ended up having to lead.,A flat vector illustration showing someone trying to lay and lead.,[Mock Bangla] The person tried to lay but ended up having to lead.,[Mock Bangla for lay],[Mock Bangla for lead]
leak,lean,255,256,verb,GENERAL,GENERAL,3,The person tried to leak but ended up having to lean.,A flat vector illustration showing someone trying to leak and lean.,[Mock Bangla] The person tried to leak but ended up having to lean.,[Mock Bangla for leak],[Mock Bangla for lean]
learn,leave,257,258,verb,GENERAL,GENERAL,3,The person tried to learn but ended up having to leave.,A flat vector illustration showing someone trying to learn and leave.,[Mock Bangla] The person tried to learn but ended up having to leave.,[Mock Bangla for learn],[Mock Bangla for leave]
lecture,lend,259,260,verb,GENERAL,GENERAL,3,The person tried to lecture but ended up having to lend.,A flat vector illustration showing someone trying to lecture and lend.,[Mock Bangla] The person tried to lecture but ended up having to lend.,[Mock Bangla for lecture],[Mock Bangla for lend]
let,level,261,262,verb,GENERAL,GENERAL,3,The person tried to let but ended up having to level.,A flat vector illustration showing someone trying to let and level.,[Mock Bangla] The person tried to let but ended up having to level.,[Mock Bangla for let],[Mock Bangla for level]
license,lick,263,264,verb,GENERAL,GENERAL,3,The person tried to license but ended up having to lick.,A flat vector illustration showing someone trying to license and lick.,[Mock Bangla] The person tried to license but ended up having to lick.,[Mock Bangla for license],[Mock Bangla for lick]
lie,lift,265,266,verb,GENERAL,GENERAL,3,The person tried to lie but ended up having to lift.,A flat vector illustration showing someone trying to lie and lift.,[Mock Bangla] The person tried to lie but ended up having to lift.,[Mock Bangla for lie],[Mock Bangla for lift]
light,like,267,268,verb,GENERAL,GENERAL,3,The person tried to light but ended up having to like.,A flat vector illustration showing someone trying to light and like.,[Mock Bangla] The person tried to light but ended up having to like.,[Mock Bangla for light],[Mock Bangla for like]
list,listen,269,270,verb,GENERAL,GENERAL,3,The person tried to list but ended up having to listen.,A flat vector illustration showing someone trying to list and listen.,[Mock Bangla] The person tried to list but ended up having to listen.,[Mock Bangla for list],[Mock Bangla for listen]
live,load,271,272,verb,GENERAL,GENERAL,3,The person tried to live but ended up having to load.,A flat vector illustration showing someone trying to live and load.,[Mock Bangla] The person tried to live but ended up having to load.,[Mock Bangla for live],[Mock Bangla for load]
lock,log,273,274,verb,GENERAL,GENERAL,3,The person tried to lock but ended up having to log.,A flat vector illustration showing someone trying to lock and log.,[Mock Bangla] The person tried to lock but ended up having to log.,[Mock Bangla for lock],[Mock Bangla for log]
look,loose,275,276,verb,GENERAL,GENERAL,3,The person tried to look but ended up having to loose.,A flat vector illustration showing someone trying to look and loose.,[Mock Bangla] The person tried to look but ended up having to loose.,[Mock Bangla for look],[Mock Bangla for loose]
lose,love,277,278,verb,GENERAL,GENERAL,3,The person tried to lose but ended up having to love.,A flat vector illustration showing someone trying to lose and love.,[Mock Bangla] The person tried to lose but ended up having to love.,[Mock Bangla for lose],[Mock Bangla for love]
machine,magnify,279,280,verb,GENERAL,GENERAL,3,The person tried to machine but ended up having to magnify.,A flat vector illustration showing someone trying to machine and magnify.,[Mock Bangla] The person tried to machine but ended up having to magnify.,[Mock Bangla for machine],[Mock Bangla for magnify]
maintain,make,281,282,verb,GENERAL,GENERAL,3,The person tried to maintain but ended up having to make.,A flat vector illustration showing someone trying to maintain and make.,[Mock Bangla] The person tried to maintain but ended up having to make.,[Mock Bangla for maintain],[Mock Bangla for make]
manage,march,283,284,verb,GENERAL,GENERAL,3,The person tried to manage but ended up having to march.,A flat vector illustration showing someone trying to manage and march.,[Mock Bangla] The person tried to manage but ended up having to march.,[Mock Bangla for manage],[Mock Bangla for march]
mark,marry,285,286,verb,GENERAL,GENERAL,3,The person tried to mark but ended up having to marry.,A flat vector illustration showing someone trying to mark and marry.,[Mock Bangla] The person tried to mark but ended up having to marry.,[Mock Bangla for mark],[Mock Bangla for marry]
match,matter,287,288,verb,GENERAL,GENERAL,3,The person tried to match but ended up having to matter.,A flat vector illustration showing someone trying to match and matter.,[Mock Bangla] The person tried to match but ended up having to matter.,[Mock Bangla for match],[Mock Bangla for matter]
mean,measure,289,290,verb,GENERAL,GENERAL,3,The person tried to mean but ended up having to measure.,A flat vector illustration showing someone trying to mean and measure.,[Mock Bangla] The person tried to mean but ended up having to measure.,[Mock Bangla for mean],[Mock Bangla for measure]
meet,melt,291,292,verb,GENERAL,GENERAL,3,The person tried to meet but ended up having to melt.,A flat vector illustration showing someone trying to meet and melt.,[Mock Bangla] The person tried to meet but ended up having to melt.,[Mock Bangla for meet],[Mock Bangla for melt]
memorize,mend,293,294,verb,GENERAL,GENERAL,3,The person tried to memorize but ended up having to mend.,A flat vector illustration showing someone trying to memorize and mend.,[Mock Bangla] The person tried to memorize but ended up having to mend.,[Mock Bangla for memorize],[Mock Bangla for mend]
mess,milk,295,296,verb,GENERAL,GENERAL,3,The person tried to mess but ended up having to milk.,A flat vector illustration showing someone trying to mess and milk.,[Mock Bangla] The person tried to mess but ended up having to milk.,[Mock Bangla for mess],[Mock Bangla for milk]
mind,mine,297,298,verb,GENERAL,GENERAL,3,The person tried to mind but ended up having to mine.,A flat vector illustration showing someone trying to mind and mine.,[Mock Bangla] The person tried to mind but ended up having to mine.,[Mock Bangla for mind],[Mock Bangla for mine]
miss,mix,299,300,verb,GENERAL,GENERAL,3,The person tried to miss but ended up having to mix.,A flat vector illustration showing someone trying to miss and mix.,[Mock Bangla] The person tried to miss but ended up having to mix.,[Mock Bangla for miss],[Mock Bangla for mix]
moan,moor,301,302,verb,GENERAL,GENERAL,3,The person tried to moan but ended up having to moor.,A flat vector illustration showing someone trying to moan and moor.,[Mock Bangla] The person tried to moan but ended up having to moor.,[Mock Bangla for moan],[Mock Bangla for moor]
mourn,move,303,304,verb,GENERAL,GENERAL,3,The person tried to mourn but ended up having to move.,A flat vector illustration showing someone trying to mourn and move.,[Mock Bangla] The person tried to mourn but ended up having to move.,[Mock Bangla for mourn],[Mock Bangla for move]
multiply,murder,305,306,verb,GENERAL,GENERAL,3,The person tried to multiply but ended up having to murder.,A flat vector illustration showing someone trying to multiply and murder.,[Mock Bangla] The person tried to multiply but ended up having to murder.,[Mock Bangla for multiply],[Mock Bangla for murder]
nail,name,307,308,verb,GENERAL,GENERAL,3,The person tried to nail but ended up having to name.,A flat vector illustration showing someone trying to nail and name.,[Mock Bangla] The person tried to nail but ended up having to name.,[Mock Bangla for nail],[Mock Bangla for name]
need,nest,309,310,verb,GENERAL,GENERAL,3,The person tried to need but ended up having to nest.,A flat vector illustration showing someone trying to need and nest.,[Mock Bangla] The person tried to need but ended up having to nest.,[Mock Bangla for need],[Mock Bangla for nest]
nod,note,311,312,verb,GENERAL,GENERAL,3,The person tried to nod but ended up having to note.,A flat vector illustration showing someone trying to nod and note.,[Mock Bangla] The person tried to nod but ended up having to note.,[Mock Bangla for nod],[Mock Bangla for note]
notice,number,313,314,verb,GENERAL,GENERAL,3,The person tried to notice but ended up having to number.,A flat vector illustration showing someone trying to notice and number.,[Mock Bangla] The person tried to notice but ended up having to number.,[Mock Bangla for notice],[Mock Bangla for number]
obey,object,315,316,verb,GENERAL,GENERAL,3,The person tried to obey but ended up having to object.,A flat vector illustration showing someone trying to obey and object.,[Mock Bangla] The person tried to obey but ended up having to object.,[Mock Bangla for obey],[Mock Bangla for object]
observe,obtain,317,318,verb,GENERAL,GENERAL,3,The person tried to observe but ended up having to obtain.,A flat vector illustration showing someone trying to observe and obtain.,[Mock Bangla] The person tried to observe but ended up having to obtain.,[Mock Bangla for observe],[Mock Bangla for obtain]
occur,offend,319,320,verb,GENERAL,GENERAL,3,The person tried to occur but ended up having to offend.,A flat vector illustration showing someone trying to occur and offend.,[Mock Bangla] The person tried to occur but ended up having to offend.,[Mock Bangla for occur],[Mock Bangla for offend]
offer,open,321,322,verb,GENERAL,GENERAL,3,The person tried to offer but ended up having to open.,A flat vector illustration showing someone trying to offer and open.,[Mock Bangla] The person tried to offer but ended up having to open.,[Mock Bangla for offer],[Mock Bangla for open]
operate,order,323,324,verb,GENERAL,GENERAL,3,The person tried to operate but ended up having to order.,A flat vector illustration showing someone trying to operate and order.,[Mock Bangla] The person tried to operate but ended up having to order.,[Mock Bangla for operate],[Mock Bangla for order]
organize,pack,325,326,verb,GENERAL,GENERAL,3,The person tried to organize but ended up having to pack.,A flat vector illustration showing someone trying to organize and pack.,[Mock Bangla] The person tried to organize but ended up having to pack.,[Mock Bangla for organize],[Mock Bangla for pack]
pad,paint,327,328,verb,GENERAL,GENERAL,3,The person tried to pad but ended up having to paint.,A flat vector illustration showing someone trying to pad and paint.,[Mock Bangla] The person tried to pad but ended up having to paint.,[Mock Bangla for pad],[Mock Bangla for paint]
park,part,329,330,verb,GENERAL,GENERAL,3,The person tried to park but ended up having to part.,A flat vector illustration showing someone trying to park and part.,[Mock Bangla] The person tried to park but ended up having to part.,[Mock Bangla for park],[Mock Bangla for part]
pass,paste,331,332,verb,GENERAL,GENERAL,3,The person tried to pass but ended up having to paste.,A flat vector illustration showing someone trying to pass and paste.,[Mock Bangla] The person tried to pass but ended up having to paste.,[Mock Bangla for pass],[Mock Bangla for paste]
pat,pause,333,334,verb,GENERAL,GENERAL,3,The person tried to pat but ended up having to pause.,A flat vector illustration showing someone trying to pat and pause.,[Mock Bangla] The person tried to pat but ended up having to pause.,[Mock Bangla for pat],[Mock Bangla for pause]
pay,peck,335,336,verb,GENERAL,GENERAL,3,The person tried to pay but ended up having to peck.,A flat vector illustration showing someone trying to pay and peck.,[Mock Bangla] The person tried to pay but ended up having to peck.,[Mock Bangla for pay],[Mock Bangla for peck]
pedal,peel,337,338,verb,GENERAL,GENERAL,3,The person tried to pedal but ended up having to peel.,A flat vector illustration showing someone trying to pedal and peel.,[Mock Bangla] The person tried to pedal but ended up having to peel.,[Mock Bangla for pedal],[Mock Bangla for peel]
peep,perform,339,340,verb,GENERAL,GENERAL,3,The person tried to peep but ended up having to perform.,A flat vector illustration showing someone trying to peep and perform.,[Mock Bangla] The person tried to peep but ended up having to perform.,[Mock Bangla for peep],[Mock Bangla for perform]
permit,phone,341,342,verb,GENERAL,GENERAL,3,The person tried to permit but ended up having to phone.,A flat vector illustration showing someone trying to permit and phone.,[Mock Bangla] The person tried to permit but ended up having to phone.,[Mock Bangla for permit],[Mock Bangla for phone]
pick,pinch,343,344,verb,GENERAL,GENERAL,3,The person tried to pick but ended up having to pinch.,A flat vector illustration showing someone trying to pick and pinch.,[Mock Bangla] The person tried to pick but ended up having to pinch.,[Mock Bangla for pick],[Mock Bangla for pinch]
pine,place,345,346,verb,GENERAL,GENERAL,3,The person tried to pine but ended up having to place.,A flat vector illustration showing someone trying to pine and place.,[Mock Bangla] The person tried to pine but ended up having to place.,[Mock Bangla for pine],[Mock Bangla for place]
plan,plant,347,348,verb,GENERAL,GENERAL,3,The person tried to plan but ended up having to plant.,A flat vector illustration showing someone trying to plan and plant.,[Mock Bangla] The person tried to plan but ended up having to plant.,[Mock Bangla for plan],[Mock Bangla for plant]
play,plead,349,350,verb,GENERAL,GENERAL,3,The person tried to play but ended up having to plead.,A flat vector illustration showing someone trying to play and plead.,[Mock Bangla] The person tried to play but ended up having to plead.,[Mock Bangla for play],[Mock Bangla for plead]
please,pledge,351,352,verb,GENERAL,GENERAL,3,The person tried to please but ended up having to pledge.,A flat vector illustration showing someone trying to please and pledge.,[Mock Bangla] The person tried to please but ended up having to pledge.,[Mock Bangla for please],[Mock Bangla for pledge]
plow,plug,353,354,verb,GENERAL,GENERAL,3,The person tried to plow but ended up having to plug.,A flat vector illustration showing someone trying to plow and plug.,[Mock Bangla] The person tried to plow but ended up having to plug.,[Mock Bangla for plow],[Mock Bangla for plug]
point,poke,355,356,verb,GENERAL,GENERAL,3,The person tried to point but ended up having to poke.,A flat vector illustration showing someone trying to point and poke.,[Mock Bangla] The person tried to point but ended up having to poke.,[Mock Bangla for point],[Mock Bangla for poke]
polish,pop,357,358,verb,GENERAL,GENERAL,3,The person tried to polish but ended up having to pop.,A flat vector illustration showing someone trying to polish and pop.,[Mock Bangla] The person tried to polish but ended up having to pop.,[Mock Bangla for polish],[Mock Bangla for pop]
possess,post,359,360,verb,GENERAL,GENERAL,3,The person tried to possess but ended up having to post.,A flat vector illustration showing someone trying to possess and post.,[Mock Bangla] The person tried to possess but ended up having to post.,[Mock Bangla for possess],[Mock Bangla for post]
