word_a,word_b,word_a_rank,word_b_rank,pos,exam_tag,exam_category,difficulty,sentence_en,image_prompt
jam,jog,233,234,verb,GENERAL,GENERAL,3,The person tried to jam but ended up having to jog.,A flat vector illustration showing someone trying to jam and jog.
join,joke,235,236,verb,GENERAL,GENERAL,3,The person tried to join but ended up having to joke.,A flat vector illustration showing someone trying to join and joke.
judge,jump,237,238,verb,GENERAL,GENERAL,3,The person tried to judge but ended up having to jump.,A flat vector illustration showing someone trying to judge and jump.
keep,kick,239,240,verb,GENERAL,GENERAL,3,The person tried to keep but ended up having to kick.,A flat vector illustration showing someone trying to keep and kick.
kill,kiss,241,242,verb,GENERAL,GENERAL,3,The person tried to kill but ended up having to kiss.,A flat vector illustration showing someone trying to kill and kiss.
kneel,knit,243,244,verb,GENERAL,GENERAL,3,The person tried to kneel but ended up having to knit.,A flat vector illustration showing someone trying to kneel and knit.
knock,knot,245,246,verb,GENERAL,GENERAL,3,The person tried to knock but ended up having to knot.,A flat vector illustration showing someone trying to knock and knot.
know,label,247,248,verb,GENERAL,GENERAL,3,The person tried to know but ended up having to label.,A flat vector illustration showing someone trying to know and label.
lack,land,249,250,verb,GENERAL,GENERAL,3,The person tried to lack but ended up having to land.,A flat vector illustration showing someone trying to lack and land.
last,laugh,251,252,verb,GENERAL,GENERAL,3,The person tried to last but ended up having to laugh.,A flat vector illustration showing someone trying to last and laugh.
lay,lead,253,254,verb,GENERAL,GENERAL,3,The person tried to lay but ended up having to lead.,A flat vector illustration showing someone trying to lay and lead.
leak,lean,255,256,verb,GENERAL,GENERAL,3,The person tried to leak but ended up having to lean.,A flat vector illustration showing someone trying to leak and lean.
learn,leave,257,258,verb,GENERAL,GENERAL,3,The person tried to learn but ended up having to leave.,A flat vector illustration showing someone trying to learn and leave.
lecture,lend,259,260,verb,GENERAL,GENERAL,3,The person tried to lecture but ended up having to lend.,A flat vector illustration showing someone trying to lecture and lend.
let,level,261,262,verb,GENERAL,GENERAL,3,The person tried to let but ended up having to level.,A flat vector illustration showing someone trying to let and level.
license,lick,263,264,verb,GENERAL,GENERAL,3,The person tried to license but ended up having to lick.,A flat vector illustration showing someone trying to license and lick.
lie,lift,265,266,verb,GENERAL,GENERAL,3,The person tried to lie but ended up having to lift.,A flat vector illustration showing someone trying to lie and lift.
light,like,267,268,verb,GENERAL,GENERAL,3,The person tried to light but ended up having to like.,A flat vector illustration showing someone trying to light and like.
list,listen,269,270,verb,GENERAL,GENERAL,3,The person tried to list but ended up having to listen.,A flat vector illustration showing someone trying to list and listen.
live,load,271,272,verb,GENERAL,GENERAL,3,The person tried to live but ended up having to load.,A flat vector illustration showing someone trying to live and load.
lock,log,273,274,verb,GENERAL,GENERAL,3,The person tried to lock but ended up having to log.,A flat vector illustration showing someone trying to lock and log.
look,loose,275,276,verb,GENERAL,GENERAL,3,The person tried to look but ended up having to loose.,A flat vector illustration showing someone trying to look and loose.
lose,love,277,278,verb,GENERAL,GENERAL,3,The person tried to lose but ended up having to love.,A flat vector illustration showing someone trying to lose and love.
machine,magnify,279,280,verb,GENERAL,GENERAL,3,The person tried to machine but ended up having to magnify.,A flat vector illustration showing someone trying to machine and magnify.
maintain,make,281,282,verb,GENERAL,GENERAL,3,The person tried to maintain but ended up having to make.,A flat vector illustration showing someone trying to maintain and make.
manage,march,283,284,verb,GENERAL,GENERAL,3,The person tried to manage but ended up having to march.,A flat vector illustration showing someone trying to manage and march.
mark,marry,285,286,verb,GENERAL,GENERAL,3,The person tried to mark but ended up having to marry.,A flat vector illustration showing someone trying to mark and marry.
match,matter,287,288,verb,GENERAL,GENERAL,3,The person tried to match but ended up having to matter.,A flat vector illustration showing someone trying to match and matter.
mean,measure,289,290,verb,GENERAL,GENERAL,3,The person tried to mean but ended up having to measure.,A flat vector illustration showing someone trying to mean and measure.
meet,melt,291,292,verb,GENERAL,GENERAL,3,The person tried to meet but ended up having to melt.,A flat vector illustration showing someone trying to meet and melt.
memorize,mend,293,294,verb,GENERAL,GENERAL,3,The person tried to memorize but ended up having to mend.,A flat vector illustration showing someone trying to memorize and mend.
mess,milk,295,296,verb,GENERAL,GENERAL,3,The person tried to mess but ended up having to milk.,A flat vector illustration showing someone trying to mess and milk.
mind,mine,297,298,verb,GENERAL,GENERAL,3,The person tried to mind but ended up having to mine.,A flat vector illustration showing someone trying to mind and mine.
miss,mix,299,300,verb,GENERAL,GENERAL,3,The person tried to miss but ended up having to mix.,A flat vector illustration showing someone trying to miss and mix.
moan,moor,301,302,verb,GENERAL,GENERAL,3,The person tried to moan but ended up having to moor.,A flat vector illustration showing someone trying to moan and moor.
mourn,move,303,304,verb,GENERAL,GENERAL,3,The person tried to mourn but ended up having to move.,A flat vector illustration showing someone trying to mourn and move.
multiply,murder,305,306,verb,GENERAL,GENERAL,3,The person tried to multiply but ended up having to murder.,A flat vector illustration showing someone trying to multiply and murder.
nail,name,307,308,verb,GENERAL,GENERAL,3,The person tried to nail but ended up having to name.,A flat vector illustration showing someone trying to nail and name.
need,nest,309,310,verb,GENERAL,GENERAL,3,The person tried to need but ended up having to nest.,A flat vector illustration showing someone trying to need and nest.
nod,note,311,312,verb,GENERAL,GENERAL,3,The person tried to nod but ended up having to note.,A flat vector illustration showing someone trying to nod and note.
notice,number,313,314,verb,GENERAL,GENERAL,3,The person tried to notice but ended up having to number.,A flat vector illustration showing someone trying to notice and number.
obey,object,315,316,verb,GENERAL,GENERAL,3,The person tried to obey but ended up having to object.,A flat vector illustration showing someone trying to obey and object.
observe,obtain,317,318,verb,GENERAL,GENERAL,3,The person tried to observe but ended up having to obtain.,A flat vector illustration showing someone trying to observe and obtain.
occur,offend,319,320,verb,GENERAL,GENERAL,3,The person tried to occur but ended up having to offend.,A flat vector illustration showing someone trying to occur and offend.
offer,open,321,322,verb,GENERAL,GENERAL,3,The person tried to offer but ended up having to open.,A flat vector illustration showing someone trying to offer and open.
operate,order,323,324,verb,GENERAL,GENERAL,3,The person tried to operate but ended up having to order.,A flat vector illustration showing someone trying to operate and order.
organize,pack,325,326,verb,GENERAL,GENERAL,3,The person tried to organize but ended up having to pack.,A flat vector illustration showing someone trying to organize and pack.
pad,paint,327,328,verb,GENERAL,GENERAL,3,The person tried to pad but ended up having to paint.,A flat vector illustration showing someone trying to pad and paint.
park,part,329,330,verb,GENERAL,GENERAL,3,The person tried to park but ended up having to part.,A flat vector illustration showing someone trying to park and part.
pass,paste,331,332,verb,GENERAL,GENERAL,3,The person tried to pass but ended up having to paste.,A flat vector illustration showing someone trying to pass and paste.
pat,pause,333,334,verb,GENERAL,GENERAL,3,The person tried to pat but ended up having to pause.,A flat vector illustration showing someone trying to pat and pause.
pay,peck,335,336,verb,GENERAL,GENERAL,3,The person tried to pay but ended up having to peck.,A flat vector illustration showing someone trying to pay and peck.
pedal,peel,337,338,verb,GENERAL,GENERAL,3,The person tried to pedal but ended up having to peel.,A flat vector illustration showing someone trying to pedal and peel.
peep,perform,339,340,verb,GENERAL,GENERAL,3,The person tried to peep but ended up having to perform.,A flat vector illustration showing someone trying to peep and perform.
permit,phone,341,342,verb,GENERAL,GENERAL,3,The person tried to permit but ended up having to phone.,A flat vector illustration showing someone trying to permit and phone.
pick,pinch,343,344,verb,GENERAL,GENERAL,3,The person tried to pick but ended up having to pinch.,A flat vector illustration showing someone trying to pick and pinch.
pine,place,345,346,verb,GENERAL,GENERAL,3,The person tried to pine but ended up having to place.,A flat vector illustration showing someone trying to pine and place.
plan,plant,347,348,verb,GENERAL,GENERAL,3,The person tried to plan but ended up having to plant.,A flat vector illustration showing someone trying to plan and plant.
play,plead,349,350,verb,GENERAL,GENERAL,3,The person tried to play but ended up having to plead.,A flat vector illustration showing someone trying to play and plead.
please,pledge,351,352,verb,GENERAL,GENERAL,3,The person tried to please but ended up having to pledge.,A flat vector illustration showing someone trying to please and pledge.
plow,plug,353,354,verb,GENERAL,GENERAL,3,The person tried to plow but ended up having to plug.,A flat vector illustration showing someone trying to plow and plug.
point,poke,355,356,verb,GENERAL,GENERAL,3,The person tried to point but ended up having to poke.,A flat vector illustration showing someone trying to point and poke.
polish,pop,357,358,verb,GENERAL,GENERAL,3,The person tried to polish but ended up having to pop.,A flat vector illustration showing someone trying to polish and pop.
possess,post,359,360,verb,GENERAL,GENERAL,3,The person tried to possess but ended up having to post.,A flat vector illustration showing someone trying to possess and post.
